year,institute_name,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,ee_avg_ctc,me_avg_ctc,chemical_avg_ctc,civil_avg_ctc
2020,IIEST Shibpur,7.3,9.5,16.5,8.0,7.3,6.417747171406983,5.75
2020,MNIT Jaipur,9.1,18.39,9.1,9.94,13.2,10.35,6.0
2020,MNNIT Allahabad,17.19,17.68,11.0,17.68,17.68,9.0,6.54
2020,NIT Agartala,6.95,14.71,13.83,15.0,6.5,7.0,6.95
2020,NIT Andhra Pradesh,6.54,10.7,6.29,6.54,6.0,8.13,6.54
2020,NIT Arunachal Pradesh,6.2,7.2,7.2,7.2,7.2,8.77,7.2
2020,NIT Calicut,17.68,17.68,12.11,12.11,8.0,10.68,12.0
2020,NIT Delhi,8.8,11.2,9.0,6.4,8.8,7.736462343613898,15.59
2020,NIT Durgapur,8.0,21.45,17.49,14.61,9.72,8.87,8.0
2020,NIT Goa,10.87,9.95,8.5,7.56,6.63,9.556289281259438,5.83
2020,NIT Hamirpur,12.84,15.75,13.0,6.5,5.0,10.42,6.77
2020,NIT Jalandhar,10.0,8.57,14.0,11.6,7.91,7.45,7.15
2020,NIT Jamshedpur,14.7,12.63,12.63,12.63,10.91,10.2,12.63
2020,NIT Kurukshetra,11.37,17.63,9.0,10.49,8.23,9.99586100532841,7.88
2020,NIT Manipur,6.0,6.0,6.5,6.0,6.0,8.21,6.0
2020,NIT Meghalaya,9.7,9.7,9.7,9.7,9.7,8.527691446938045,9.7
2020,NIT Mizoram,8.4,8.4,8.4,8.4,7.45,6.8,8.4
2020,NIT Nagaland,5.32,4.22,5.25,5.25,4.56,8.09,4.22
2020,NIT Patna,9.9,14.0,9.9,9.9,9.9,6.8,9.9
2020,NIT Puducherry,8.0,6.8,7.9,7.9,7.9,10.0,7.9
2020,NIT Raipur,10.8,10.8,10.8,10.8,7.77,7.6,8.53
2020,NIT Rourkela,8.0,13.8,10.6,13.62,9.8,9.36,10.5
2020,NIT Sikkim,9.5,6.0,12.57,10.0,7.5,7.11,6.98
2020,NIT Silchar,13.34,13.86,13.34,13.34,13.34,7.15,6.03
2020,NIT Srinagar,6.25,13.8,10.7,9.42,9.2,6.25,8.6
2020,NIT Surathkal,19.66,19.66,16.25,16.25,18.26,16.25,16.25
2020,NIT Trichy,12.0,12.93,12.93,9.5,9.16,12.93,6.5
2020,NIT Uttarakhand,9.48,9.45,10.36,8.43,5.92,8.334279888347698,6.0
2020,NIT Warangal,14.35,18.55,9.4,22.0,17.29,14.8,14.35
2020,VNIT Nagpur,10.0,11.94,15.0,10.63,10.11,8.73,8.1
2021,IIEST Shibpur,20.0,9.5,16.5,6.5,7.3,17.58286896275886,5.75
2021,MNIT Jaipur,10.0,18.39,18.01,9.94,13.2,10.35,10.0
2021,MNNIT Allahabad,17.19,19.08,17.68,17.68,17.68,9.0,11.4
2021,NIT Agartala,6.0,14.71,13.83,15.0,8.23,7.0,6.0
2021,NIT Andhra Pradesh,6.29,10.7,6.29,6.29,6.47,8.13,6.47
2021,NIT Arunachal Pradesh,7.2,7.2,7.2,7.2,7.2,8.77,7.2
2021,NIT Calicut,17.14,17.14,12.11,12.11,12.6,10.68,8.09
2021,NIT Delhi,12.2,12.2,8.4,8.1,8.8,10.725550067282903,15.59
2021,NIT Durgapur,8.0,21.45,17.49,14.61,9.72,8.87,7.39
2021,NIT Goa,7.61,9.95,8.5,7.56,7.0,6.690281640329745,5.83
2021,NIT Hamirpur,12.84,6.5,9.5,6.5,6.5,10.42,6.77
2021,NIT Jalandhar,8.5,8.5,14.0,11.6,7.91,7.45,7.12
2021,NIT Jamshedpur,14.7,14.0,12.63,12.63,12.63,10.2,12.63
2021,NIT Kurukshetra,11.37,15.54,5.0,10.49,11.37,9.99586100532841,7.88
2021,NIT Manipur,8.21,8.21,6.5,6.4,6.0,8.21,8.21
2021,NIT Meghalaya,10.5,17.95,9.7,9.7,9.7,9.2310062054484,9.7
2021,NIT Mizoram,7.35,8.4,8.4,8.4,7.45,6.8,8.4
2021,NIT Nagaland,8.09,4.22,4.22,5.25,3.0,8.09,4.22
2021,NIT Patna,17.13,9.9,9.9,9.9,9.9,6.8,9.9
2021,NIT Puducherry,10.0,6.8,7.9,7.9,10.0,10.0,7.9
2021,NIT Raipur,10.8,10.8,12.93,10.7,10.8,7.6,8.53
2021,NIT Rourkela,9.8,20.88,33.0,14.82,9.8,9.36,10.5
2021,NIT Sikkim,7.11,10.24,8.79,10.0,7.5,7.11,7.11
2021,NIT Silchar,13.34,13.34,13.34,13.34,13.34,7.15,13.34
2021,NIT Srinagar,6.25,13.8,10.7,9.42,9.2,6.25,8.67
2021,NIT Surathkal,21.33,21.33,16.25,16.25,18.26,16.25,16.25
2021,NIT Trichy,10.9,11.0,12.93,9.5,8.7,12.0,6.5
2021,NIT Uttarakhand,8.43,9.45,10.36,8.03,5.92,7.411179267802858,6.0
2021,NIT Warangal,13.0,13.0,9.4,16.0,17.29,14.8,14.35
2021,VNIT Nagpur,10.0,11.94,15.5,11.16,10.11,8.73,7.37
2022,IIEST Shibpur,7.3,7.3,16.5,7.2,7.84,6.417747171406983,5.75
2022,MNIT Jaipur,12.43,18.39,18.01,9.94,13.2,10.35,7.03
2022,MNNIT Allahabad,17.19,17.19,17.19,17.68,17.19,9.0,17.19
2022,NIT Agartala,14.71,14.71,13.83,11.2,8.23,7.0,7.0
2022,NIT Andhra Pradesh,7.05,10.7,7.8,7.5,6.8,8.13,5.9
2022,NIT Arunachal Pradesh,8.6,7.2,7.2,6.77,8.49,8.77,5.38
2022,NIT Calicut,12.58,20.55,12.11,12.11,12.6,10.68,8.09
2022,NIT Delhi,17.14,21.44,16.6,10.81,8.8,15.068518701084342,15.59
2022,NIT Durgapur,4.5,4.5,4.5,4.5,4.5,8.17,7.78
2022,NIT Goa,13.1,10.87,8.5,7.56,6.63,11.516779170607052,5.83
2022,NIT Hamirpur,7.54,7.54,7.54,7.54,7.54,10.42,9.9
2022,NIT Jalandhar,11.87,17.44,12.44,11.6,11.87,7.76,6.94
2022,NIT Jamshedpur,14.7,14.7,20.53,14.7,14.7,10.2,12.63
2022,NIT Kurukshetra,13.89,17.63,11.8,10.49,8.72,12.211302494636026,7.94
2022,NIT Manipur,9.7,9.7,9.7,9.7,6.0,8.21,9.7
2022,NIT Meghalaya,13.33,15.5,9.7,9.15,9.7,11.71898216367878,6.16
2022,NIT Mizoram,7.35,8.4,8.4,8.68,7.35,6.8,8.4
2022,NIT Nagaland,8.09,8.09,4.22,8.09,8.09,8.09,8.09
2022,NIT Patna,13.7,14.95,13.0,9.9,13.7,6.8,9.9
2022,NIT Puducherry,8.42,9.09,7.88,8.46,6.33,10.0,6.92
2022,NIT Raipur,10.1,15.86,10.8,10.8,10.8,7.6,8.53
2022,NIT Rourkela,11.15,18.31,19.04,13.62,9.8,11.15,10.5
2022,NIT Sikkim,8.44,10.24,8.79,7.83,6.69,7.11,4.7
2022,NIT Silchar,12.64,14.9,12.27,13.34,13.34,7.15,13.34
2022,NIT Srinagar,13.7,13.8,10.7,9.42,9.2,6.25,7.5
2022,NIT Surathkal,15.84,23.03,16.25,16.25,18.26,16.25,15.84
2022,NIT Trichy,12.0,18.0,12.93,9.5,9.53,12.0,6.5
2022,NIT Uttarakhand,8.03,9.45,8.03,8.43,5.92,7.059521888547681,6.0
2022,NIT Warangal,25.5,25.5,18.9,22.0,17.29,14.8,8.93
2022,VNIT Nagpur,10.0,14.0,15.5,15.5,10.11,8.73,10.0
2023,IIEST Shibpur,8.5,8.5,8.5,8.5,8.5,7.472719309172515,5.75
2023,MNIT Jaipur,13.2,21.0,13.2,15.66,13.2,10.35,8.5
2023,MNNIT Allahabad,20.34,20.34,20.31,21.45,20.34,9.0,20.34
2023,NIT Agartala,14.71,14.71,13.83,11.2,8.23,8.52,7.2
2023,NIT Andhra Pradesh,8.13,11.12,9.03,8.13,8.13,8.13,8.13
2023,NIT Arunachal Pradesh,9.04,10.13,10.4,8.1,11.3,8.77,9.92
2023,NIT Calicut,13.77,21.92,12.11,14.74,9.78,10.68,8.75
2023,NIT Delhi,17.72,18.32,16.25,17.8,17.72,15.578421901004347,17.72
2023,NIT Durgapur,13.62,21.41,17.49,14.55,9.78,9.12,7.34
2023,NIT Goa,11.45,13.4,12.45,12.74,7.92,10.066192481179446,7.7
2023,NIT Hamirpur,8.25,12.84,8.25,8.25,8.25,10.42,8.25
2023,NIT Jalandhar,12.44,16.74,16.67,12.44,12.44,8.45,12.44
2023,NIT Jamshedpur,15.98,12.63,22.03,17.98,12.63,10.2,9.57
2023,NIT Kurukshetra,14.16,14.16,14.16,14.16,14.16,12.448671225633271,14.16
2023,NIT Manipur,9.7,9.7,9.7,9.7,6.0,8.21,9.7
2023,NIT Meghalaya,11.1,14.53,10.07,11.1,10.08,9.758492274331166,9.33
2023,NIT Mizoram,7.0,13.02,8.24,8.89,9.65,6.8,7.5
2023,NIT Nagaland,11.02,11.02,11.02,11.02,11.02,8.09,11.02
2023,NIT Patna,13.3,8.93,6.7,13.65,13.3,6.8,8.42
2023,NIT Puducherry,9.8,9.8,9.8,7.28,9.8,10.0,6.7
2023,NIT Raipur,13.75,13.8,10.8,11.38,9.66,8.8,10.02
2023,NIT Rourkela,15.74,12.56,19.89,15.74,15.74,15.74,15.74
2023,NIT Sikkim,8.5,11.98,11.56,8.22,7.6,7.11,6.98
2023,NIT Silchar,14.39,24.07,17.05,12.86,13.58,7.15,13.95
2023,NIT Srinagar,9.42,13.8,10.7,9.42,9.2,8.46,8.67
2023,NIT Surathkal,18.26,29.23,13.2,18.62,18.26,16.25,11.93
2023,NIT Trichy,15.76,27.27,23.0,19.3,15.76,12.54,13.0
2023,NIT Uttarakhand,10.4,9.45,6.5,8.43,8.5,9.143091860634605,7.38
2023,NIT Warangal,17.29,30.8,17.29,17.29,17.29,14.8,13.0
2023,VNIT Nagpur,12.14,15.87,12.14,12.14,12.14,8.73,5.63
2024,IIEST Shibpur,10.15,8.5,8.5,8.5,8.5,8.92330599860012,5.75
2024,MNIT Jaipur,13.2,18.39,14.75,9.94,9.93,10.35,7.82
2024,MNNIT Allahabad,19.48,28.38,20.56,20.36,10.61,11.35,9.43
2024,NIT Agartala,14.71,14.71,13.83,11.2,8.23,8.52,7.2
2024,NIT Andhra Pradesh,7.22,7.22,7.22,7.22,8.0,8.13,7.22
2024,NIT Arunachal Pradesh,9.6,13.5,10.4,7.2,8.1,8.77,9.92
2024,NIT Calicut,12.41,19.37,13.71,10.99,9.67,10.68,8.09
2024,NIT Delhi,15.59,18.0,13.12,15.59,15.59,13.705846356470529,15.59
2024,NIT Durgapur,7.35,21.45,17.49,14.61,7.35,8.87,7.39
2024,NIT Goa,7.69,9.95,8.5,7.71,6.63,6.760613116180781,6.67
2024,NIT Hamirpur,10.05,15.68,8.37,7.74,8.25,8.05,10.05
2024,NIT Jalandhar,11.47,14.61,10.53,11.91,7.91,7.45,12.68
2024,NIT Jamshedpur,9.5,20.24,15.65,14.78,9.3,8.22,8.08
2024,NIT Kurukshetra,12.68,19.7,14.09,12.68,12.68,11.147538922389115,12.68
2024,NIT Manipur,8.7,9.7,9.7,9.7,6.0,8.21,9.7
2024,NIT Meghalaya,9.7,9.7,9.7,5.56,9.7,8.527691446938045,9.7
2024,NIT Mizoram,7.02,7.02,7.02,7.02,7.02,6.8,7.02
2024,NIT Nagaland,4.22,7.0,4.22,7.0,4.22,8.09,4.22
2024,NIT Patna,9.9,19.0,11.42,7.6,14.0,6.8,9.9
2024,NIT Puducherry,7.9,7.9,7.9,6.9,7.9,10.0,7.9
2024,NIT Raipur,10.8,14.61,10.8,10.8,10.8,10.8,10.8
2024,NIT Rourkela,14.57,21.6,19.89,13.62,12.2,12.39,10.5
2024,NIT Sikkim,13.76,13.76,12.57,10.87,8.56,7.11,6.21
2024,NIT Silchar,13.34,14.9,13.34,11.84,13.34,7.15,13.34
2024,NIT Srinagar,9.5,13.8,10.7,9.42,9.2,8.46,8.6
2024,NIT Surathkal,16.25,23.24,20.89,13.7,16.25,13.17,16.25
2024,NIT Trichy,25.97,27.27,23.0,19.3,15.76,12.54,12.9
2024,NIT Uttarakhand,10.4,10.4,10.4,10.4,10.4,9.143091860634605,10.4
2024,NIT Warangal,15.6,29.67,20.58,16.71,13.59,12.54,9.14
2024,VNIT Nagpur,12.28,16.8,12.5,11.44,12.14,10.51,6.8
